Label,Element,Concentration
36633 BR,As 193.696,0.08
36633 BR,B 249.772,0.08
36633 BR,Ca 422.673,213.46
36633 BR,Ca 430.253,220.13
36633 BR,Ca 643.907,209.59
36633 BR,Cd 214.439,0.00
36633 BR,Co 231.406,-0.03
36633 BR,Co 258.033,0.04
36633 BR,Cr 266.602,0.02
36633 BR,Cr 267.716,0.02
,,
