Label,Element,Concentration
36623 A,Co 231.406,0.04
36623 A,Co 258.033,0.06
36623 A,Cr 266.602,0.30
36623 A,Cr 267.716,0.25
,,
36623 B,Ag 328.068,0.00
36623 B,Al 308.215,34.47
36623 B,As 188.980,0.29
36623 B,As 193.696,0.58
36623 B,B 249.772,0.47
36623 B,Ca 422.673,383.76
36623 B,Ca 430.253,398.32
36623 B,Ca 643.907,379.57
36623 B,Cd 214.439,0.01
36623 B,Co 231.406,0.05
36623 B,Co 258.033,0.13
36623 B,Cr 266.602,0.29
36623 B,Cr 267.716,0.26
,,
36624 A,Ag 328.068,-0.01
36624 A,Al 308.215,7.50
36624 A,As 188.980,0.14
36624 A,As 193.696,0.17
36624 A,B 249.772,0.12
36624 A,Ca 422.673,802.87
36624 A,Ca 430.253,823.81
36624 A,Ca 643.907,782.39
36624 A,Cd 214.439,0.00
36624 A,Co 231.406,0.01
36624 A,Co 258.033,0.00
36624 A,Cr 266.602,0.06
36624 A,Cr 267.716,0.04
,,
36624 B,Ag 328.068,0.01
36624 B,Al 308.215,2.58
36624 B,As 188.980,0.28
36624 B,As 193.696,0.31
36624 B,B 249.772,0.12
36624 B,Ca 422.673,808.60
36624 B,Ca 430.253,830.85
36624 B,Ca 643.907,793.84
36624 B,Cd 214.439,0.01
36624 B,Co 231.406,0.01
36624 B,Co 258.033,0.04
36624 B,Cr 266.602,0.03
36624 B,Cr 267.716,0.02
,,
36465 A,Ag 328.068,-0.17
36465 A,Al 308.215,5143.86
36465 A,As 188.980,16.99
36465 A,As 193.696,22.18
36465 A,B 249.772,81.11
36465 A,Ca 422.673,65570.35
36465 A,Ca 430.253,68366.47
36465 A,Ca 643.907,64649.92
36465 A,Cd 214.439,1.23
36465 A,Co 231.406,7.94
36465 A,Co 258.033,5.59
36465 A,Cr 266.602,28.00
36465 A,Cr 267.716,26.52
,,
36465 B,Ag 328.068,-0.71
36465 B,Al 308.215,4333.53
36465 B,As 188.980,12.78
36465 B,As 193.696,8.53
36465 B,B 249.772,73.43
36465 B,Ca 422.673,59247.06
36465 B,Ca 430.253,61181.15
36465 B,Ca 643.907,58033.00
36465 B,Cd 214.439,1.09
36465 B,Co 231.406,7.48
36465 B,Co 258.033,5.02
36465 B,Cr 266.602,23.12
36465 B,Cr 267.716,22.92
,,
98688 A,Ag 328.068,-0.39
98688 A,Al 308.215,103.93
98688 A,As 188.980,20.10
98688 A,As 193.696,16.22
98688 A,B 249.772,-0.25
98688 A,Ca 422.673,921.93
98688 A,Ca 430.253,977.26
98688 A,Ca 643.907,1026.74
98688 A,Cd 214.439,0.26
98688 A,Co 231.406,-4.55
