Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
70343,Mo 202.032,-0.6799999999999999,0.014142135623730885,-0.67,-0.69,-0.67,-0.69,,,,,-0.69,
70343,Mo 204.598,3.245,2.3970919882223964,4.94,1.55,4.94,1.55,,,,,1.55,
70343,Mo 313.259,4.375,2.0152543263816605,2.95,5.8,2.95,5.8,,,,,5.8,
70343,Na 588.995,374.02,6.3498188950552095,378.51,369.53,378.51,369.53,,,,,369.53,
70343,Na 589.592,648.63,5.444722215136448,652.48,644.78,652.48,644.78,,,,,644.78,
70343,Ni 225.385,8.625,0.40305086527633227,8.34,8.91,8.34,8.91,,,,,8.91,
70343,Ni 227.877,-13.379999999999999,6.137686860699232,-17.72,-9.04,-17.72,-9.04,,,,,-9.04,
70343,P 213.618,776.255,13.625947673464758,766.62,785.89,766.62,785.89,,,,,785.89,
70343,P 215.294,,,,,,,,,,,,
70343,P 255.491,,,,,,,,,,,,
70343,Pb 220.353,-1.15,3.9173715677734733,1.62,-3.92,1.62,-3.92,,,,,-3.92,
70343,Pb 266.315,,,,,,,,,,,,
70343,Pb 363.957,,,,,,,,,,,,
70343,Sb 206.834,11.694999999999999,10.090413767532032,18.83,4.56,18.83,4.56,,,,,4.56,
70343,Si 251.611,2253.89,61.22130511513124,2210.6,2297.18,2210.6,2297.18,,,,,2297.18,
70343,Sn 189.925,-9.7,6.9579307268756265,-14.62,-4.78,-14.62,-4.78,,,,,-4.78,
70343,Ti 336.122,32.445,2.029396462005392,31.01,33.88,31.01,33.88,,,,,33.88,
70343,V 319.068,1.49,1.2020815280171306,0.64,2.34,0.64,2.34,,,,,2.34,
70343,Zn 213.857,36.11,0.08485281374238891,36.05,36.17,36.05,36.17,,,,,36.17,
70343,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
70351,Ag 328.068,,,,,,,,,,,,
70351,Al 308.215,9196.955,227.8227338304928,9035.86,9358.05,9035.86,9358.05,,,,,9358.05,
70351,As 188.980,,,,,,,,,,,,
70351,As 193.696,21.535,3.104198769408944,19.34,23.73,19.34,23.73,,,,,23.73,
70351,B 249.772,21.355,0.8555992052357231,20.75,21.96,20.75,21.96,,,,,21.96,
70351,Ca 422.673,21119.199999999997,75.1654508401295,21066.05,21172.35,21066.05,21172.35,,,,,21172.35,
70351,Ca 430.253,22344.809999999998,92.91383104791079,22279.11,22410.51,22279.11,22410.51,,,,,22410.51,
70351,Ca 643.907,,,,,,,,,,,,
70351,Cd 214.439,-0.34,0.16970562748477142,-0.22,-0.46,-0.22,-0.46,,,,,-0.46,
70351,Co 231.497,14.525,3.245620125646253,12.23,16.82,12.23,16.82,,,,,16.82,
70351,Co 258.033,3.81,0.21213203435596414,3.96,3.66,3.96,3.66,,,,,3.66,
70351,Cr 266.602,27.189999999999998,0.3959797974644657,26.91,27.47,26.91,27.47,,,,,27.47,
70351,Cr 267.716,34.305,0.8555992052357181,33.7,34.91,33.7,34.91,,,,,34.91,
70351,Cr 357.868,33.84,0.3535533905932738,33.59,34.09,33.59,34.09,,,,,34.09,
70351,Cu 324.754,10.309999999999999,1.0040916292848974,11.02,9.6,11.02,9.6,,,,,9.6,
70351,Cu 327.395,12.875,0.33234018715767655,12.64,13.11,12.64,13.11,,,,,13.11,
