Label,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration %RSD,Intensity SD,Intensity %RSD,Weight,Volume,Dilution,Internal Standard,Lims ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
36630 B,Sample,15/01/2021 20:09:30,As 193.696,As,,0.06,1.87,ppm,29.84,0.65,35.10,8.13,27.23,0.7717,5,4.517659,-,,,,,,,3,1.22,1.84,2.53,21.86,29.56,38.11,,,
36630 B,Sample,15/01/2021 20:09:30,B 249.772,B,,0.10,2.89,ppm,918.54,0.04,1.34,11.57,1.26,0.7717,5,4.517659,-,,,,,,,3,2.85,2.90,2.92,905.66,921.94,928.03,,,
36630 B,Sample,15/01/2021 20:09:30,Ca 422.673,Ca,o,71.43,2090.68,ppm,329033.43,9.78,0.47,1538.96,0.47,0.7717,5,4.517659,-,,,,,,,3,2083.66,2101.85,2086.52,327929.65,330791.41,328379.24,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36631 AR,Sample,15/01/2021 20:12:48,Ag 328.068,Ag,u,0.00,0.00,ppm,30.62,0.02,1722.45,18.46,60.30,0.53598,1,4.917577,-,,,,,,,3,-0.01,-0.01,0.02,21.29,18.68,51.88,u,u,
36631 AR,Sample,15/01/2021 20:12:48,Al 308.215,Al,,1.65,15.14,ppm,1891.46,0.22,1.43,26.58,1.41,0.53598,1,4.917577,-,,,,,,,3,14.89,15.31,15.22,1861.43,1911.96,1900.99,,,
36631 AR,Sample,15/01/2021 20:12:48,As 188.980,As,,0.02,0.15,ppm,14.29,0.03,18.03,1.13,7.91,0.53598,1,4.917577,-,,,,,,,3,0.14,0.17,0.12,14.22,15.46,13.2,,,
36631 AR,Sample,15/01/2021 20:12:48,As 193.696,As,,0.02,0.15,ppm,12.65,0.05,31.92,1.9,15.05,0.53598,1,4.917577,-,,,,,,,3,0.11,0.21,0.13,11.22,14.81,11.92,,,
36631 AR,Sample,15/01/2021 20:12:48,B 249.772,B,,0.02,0.19,ppm,242.51,0.00,1.37,2.52,1.04,0.53598,1,4.917577,-,,,,,,,3,0.19,0.20,0.20,239.61,244.17,243.76,,,
36631 AR,Sample,15/01/2021 20:12:48,Ca 422.673,Ca,,36.91,338.66,ppm,170105.13,2.57,0.76,1290.45,0.76,0.53598,1,4.917577,-,,,,,,,3,335.79,339.43,340.76,168665.69,170491.29,171158.41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36631 BR,Sample,15/01/2021 20:14:27,Ag 328.068,Ag,u,0.00,0.00,ppm,34.46,0.00,176.83,4.9,14.23,0.53598,1,4.714964,-,,,,,,,3,0.01,0.00,0.00,40.13,31.77,31.5,,,u
36631 BR,Sample,15/01/2021 20:14:27,Al 308.215,Al,,1.06,9.32,ppm,1225.94,0.11,1.22,14.59,1.19,0.53598,1,4.714964,-,,,,,,,3,9.24,9.27,9.45,1215.6,1219.58,1242.63,,,
36631 BR,Sample,15/01/2021 20:14:27,As 188.980,As,u,0.00,0.03,ppm,9.15,0.03,131.40,1.48,16.22,0.53598,1,4.714964,-,,,,,,,3,0.06,0.02,0.00,10.78,8.82,7.86,,,u
36631 BR,Sample,15/01/2021 20:14:27,As 193.696,As,,0.02,0.16,ppm,13.34,0.04,25.96,1.73,12.95,0.53598,1,4.714964,-,,,,,,,3,0.21,0.12,0.15,15.19,11.77,13.06,,,
36631 BR,Sample,15/01/2021 20:14:27,B 249.772,B,,0.01,0.12,ppm,173.62,0.01,8.80,10.15,5.85,0.53598,1,4.714964,-,,,,,,,3,0.12,0.11,0.13,173.84,163.36,183.66,,,
36631 BR,Sample,15/01/2021 20:14:27,Ca 422.673,Ca,,23.29,204.91,ppm,107398.75,0.83,0.41,434.96,0.40,0.53598,1,4.714964,-,,,,,,,3,203.95,205.37,205.41,106896.61,107640.45,107659.18,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36632 AR,Sample,15/01/2021 20:16:05,Ag 328.068,Ag,u,0.00,0.00,ppm,34.15,0.02,812.63,20.0,58.57,0.594974,1,5.04443,-,,,,,,,3,0.00,-0.01,0.02,26.4,19.18,56.87,u,u,
36632 AR,Sample,15/01/2021 20:16:05,Al 308.215,Al,,1.19,10.06,ppm,1369.26,0.02,0.20,2.63,0.19,0.594974,1,5.04443,-,,,,,,,3,10.07,10.04,10.07,1370.9,1366.23,1370.65,,,
36632 AR,Sample,15/01/2021 20:16:05,As 188.980,As,,0.03,0.22,ppm,18.43,0.18,78.74,8.19,44.46,0.594974,1,5.04443,-,,,,,,,3,0.12,0.12,0.43,13.59,13.81,27.89,,,
36632 AR,Sample,15/01/2021 20:16:05,As 193.696,As,,0.06,0.48,ppm,27.45,0.24,49.29,10.23,37.28,0.594974,1,5.04443,-,,,,,,,3,0.75,0.40,0.30,38.95,24.02,19.37,,,
36632 AR,Sample,15/01/2021 20:16:05,B 249.772,B,,0.02,0.15,ppm,215.44,0.00,1.14,1.79,0.83,0.594974,1,5.04443,-,,,,,,,3,0.15,0.15,0.15,216.36,216.58,213.37,,,
36632 AR,Sample,15/01/2021 20:16:05,Ca 422.673,Ca,,35.59,301.76,ppm,164027.23,1.52,0.50,825.18,0.50,0.594974,1,5.04443,-,,,,,,,3,303.41,301.45,300.42,164923.85,163858.15,163299.69,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36632 BR,Sample,15/01/2021 20:17:43,Ag 328.068,Ag,u,0.00,-0.01,ppm,21.32,0.00,29.16,3.02,14.19,0.594974,1,4.919461,-,,,,,,,3,-0.01,-0.01,-0.01,19.82,24.8,19.33,u,u,u
36632 BR,Sample,15/01/2021 20:17:43,Al 308.215,Al,,1.22,10.07,ppm,1404.19,0.15,1.48,20.26,1.44,0.594974,1,4.919461,-,,,,,,,3,10.07,9.91,10.21,1405.23,1383.43,1423.92,,,
36632 BR,Sample,15/01/2021 20:17:43,As 188.980,As,u,0.01,0.06,ppm,11.08,0.12,190.76,5.83,52.59,0.594974,1,4.919461,-,,,,,,,3,0.16,0.11,-0.07,15.44,13.34,4.46,,,u
36632 BR,Sample,15/01/2021 20:17:43,As 193.696,As,,0.03,0.22,ppm,16.35,0.11,51.00,4.93,30.15,0.594974,1,4.919461,-,,,,,,,3,0.35,0.13,0.18,21.93,12.6,14.51,,,
36632 BR,Sample,15/01/2021 20:17:43,B 249.772,B,,0.02,0.15,ppm,218.93,0.01,6.71,10.78,4.92,0.594974,1,4.919461,-,,,,,,,3,0.16,0.16,0.14,225.62,224.67,206.49,,,
36632 BR,Sample,15/01/2021 20:17:43,Ca 422.673,Ca,,36.20,299.31,ppm,166824.99,1.98,0.66,1102.97,0.66,0.594974,1,4.919461,-,,,,,,,3,299.10,301.38,297.44,166709.96,167980.97,165784.03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36633 AR,Sample,15/01/2021 20:21:00,Ag 328.068,Ag,u,0.00,0.00,ppm,29.68,0.01,463.30,9.32,31.41,0.68826,1,4.848091,-,,,,,,,3,0.01,-0.01,0.00,39.55,21.03,28.46,,u,u
36633 AR,Sample,15/01/2021 20:21:00,Al 308.215,Al,,0.04,0.27,ppm,75.79,0.04,16.65,7.07,9.33,0.68826,1,4.848091,-,,,,,,,3,0.29,0.29,0.21,80.22,79.52,67.63,,,
36633 AR,Sample,15/01/2021 20:21:00,As 188.980,As,,0.03,0.19,ppm,18.67,0.10,50.81,5.41,28.97,0.68826,1,4.848091,-,,,,,,,3,0.08,0.25,0.24,12.44,22.15,21.43,,,
36633 AR,Sample,15/01/2021 20:21:00,As 193.696,As,u,0.00,-0.02,ppm,5.42,0.08,343.76,4.34,80.07,0.68826,1,4.848091,-,,,,,,,3,-0.04,-0.10,0.07,4.66,1.51,10.1,u,u,
36633 AR,Sample,15/01/2021 20:21:00,B 249.772,B,,0.01,0.09,ppm,163.53,0.01,8.61,9.06,5.54,0.68826,1,4.848091,-,,,,,,,3,0.08,0.08,0.09,162.07,155.28,173.22,,,
36633 AR,Sample,15/01/2021 20:21:00,Ca 422.673,Ca,,30.14,212.30,ppm,138922.47,0.62,0.29,405.15,0.29,0.68826,1,4.848091,-,,,,,,,3,212.00,211.89,213.01,138725.06,138653.84,139388.49,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36633 BR,Sample,15/01/2021 20:22:38,Ag 328.068,Ag,u,0.00,0.00,ppm,31.25,0.01,4408.39,19.43,62.16,0.68826,1,4.828564,-,,,,,,,3,-0.02,0.00,0.01,9.68,36.71,47.36,u,,
36633 BR,Sample,15/01/2021 20:22:38,Al 308.215,Al,,0.04,0.31,ppm,82.57,0.05,14.89,7.34,8.88,0.68826,1,4.828564,-,,,,,,,3,0.27,0.36,0.29,76.82,90.83,80.06,,,
36633 BR,Sample,15/01/2021 20:22:38,As 188.980,As,,0.03,0.23,ppm,20.73,0.07,29.73,3.78,18.22,0.68826,1,4.828564,-,,,,,,,3,0.19,0.19,0.30,18.65,18.45,25.09,,,
36633 BR,Sample,15/01/2021 20:22:38,As 193.696,As,u,0.01,0.08,ppm,10.59,0.14,180.33,7.04,66.49,0.68826,1,4.828564,-,,,,,,,3,0.22,0.05,-0.05,18.16,9.38,4.23,,,u
36633 BR,Sample,15/01/2021 20:22:38,B 249.772,B,,0.01,0.08,ppm,153.51,0.00,3.58,3.41,2.22,0.68826,1,4.828564,-,,,,,,,3,0.08,0.07,0.08,152.5,150.72,157.32,,,
36633 BR,Sample,15/01/2021 20:22:38,Ca 422.673,Ca,,30.43,213.46,ppm,140242.34,0.42,0.20,278.86,0.20,0.68826,1,4.828564,-,,,,,,,3,212.97,213.62,213.77,139925.28,140352.25,140449.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
